,file,size,date,ul_lat,lr_lat,ur_lat,ll_lon,ul_lon,ur_lon,lr_lon,ll_lat
1666,20190716a_jpgs/jpgs/P19750616.jpg,5890719,2019/07/16,29.5707457090414,29.5657351736144,29.5754916712155,-92.2050736119874,-92.2129247007401,-92.198985246906,-92.1968070270752,29.5625040976231
1667,20190716a_jpgs/jpgs/P19754382.jpg,4363060,2019/07/16,29.2020589437402,29.206668472971,29.2066464188301,-90.6620331971592,-90.6657890865347,-90.6670428655048,-90.6628385215969,29.2038659131238
1668,20190716a_jpgs/jpgs/S19758466.jpg,6309658,2019/07/16,29.9712189839003,29.9646380915257,29.9673035358012,-93.1851763643298,-93.182705727298,-93.1775234110747,-93.1820015352579,29.9670719056169
1669,20190716a_jpgs/jpgs/P19757866.jpg,5520667,2019/07/16,29.9562478190543,29.9626832255449,29.9574174162593,-92.7505624068676,-92.7496633306718,-92.7576314549065,-92.7549375154767,29.9621005171015
1670,20190716a_jpgs/jpgs/C19758632.jpg,12635164,2019/07/16,30.0584489797121,30.0572334499502,30.0603480093426,-93.2648858486557,-93.2665033134912,-93.2617600220736,-93.2600918489854,30.0553298988663
1671,20190716a_jpgs/jpgs/P19756369.jpg,6876014,2019/07/16,29.7636978124555,29.7666661149554,29.7633971530253,-91.7138683449339,-91.7128676762633,-91.7179895655098,-91.7175986830828,29.7669153267926
1672,20190716a_jpgs/jpgs/S19754985.jpg,8428563,2019/07/16,29.5483356304181,29.5502820087244,29.5527923387667,-90.7581508634845,-90.7625897740009,-90.7602095272728,-90.7567472699466,29.5476432147232
1673,20190716a_jpgs/jpgs/P19756523.jpg,6303517,2019/07/16,29.7952436417892,29.7995055228457,29.7989994569534,-91.8171799107304,-91.8201246323634,-91.8219688625743,-91.8182958931877,29.7972454720796
1674,20190716a_jpgs/jpgs/P19747405.jpg,6931141,2019/07/16,29.7731578574752,29.7668891972359,29.7718348541036,-93.4380902460892,-93.4384501967192,-93.4306773129405,-93.4333594449655,29.7676984104157
1675,20190716a_jpgs/jpgs/P19755758.jpg,7508498,2019/07/16,29.6461664011792,29.6486083893167,29.6441003763274,-91.2727850122059,-91.2694063195256,-91.2756445373939,-91.2764233158501,29.6499244693715
1676,20190716a_jpgs/jpgs/P19747580.jpg,6235036,2019/07/16,29.7748729797489,29.7702594530742,29.7754885268854,-93.3023042819768,-93.304579869089,-93.2967930256845,-93.2975171725422,29.7697816469182
1677,20190716a_jpgs/jpgs/S19753141.jpg,7807387,2019/07/16,29.4558367518009,29.4543717041267,29.4616254203983,-91.3210193525193,-91.3274326970578,-91.3185529639498,-91.3154373337356,29.4509161668047
1678,20190716a_jpgs/jpgs/S19755993.jpg,8583956,2019/07/16,29.6821795076123,29.6755471272405,29.6802802773246,-91.451305697347,-91.4511097183965,-91.4436488339919,-91.4471926142601,29.6766524766376
1679,20190716a_jpgs/jpgs/S19757074.jpg,6367048,2019/07/16,29.7863026237396,29.7817177151393,29.7850472403272,-92.1878639574194,-92.1877190275365,-92.1823045970459,-92.1844041665365,29.7825396393338
1680,20190716a_jpgs/jpgs/P19757532.jpg,6870044,2019/07/16,29.8948300223776,29.899923239283,29.8954607138855,-92.5033915866552,-92.5024293942934,-92.5093401177348,-92.5076285833709,29.8996098160728
1681,20190716a_jpgs/jpgs/P19759143.jpg,6673401,2019/07/16,30.0528318928874,30.0575372414259,30.0522893835034,-93.5996082051436,-93.5975215646635,-93.6052813763079,-93.6043502845516,30.0579071084887
1682,20190716a_jpgs/jpgs/P19753073.jpg,9135416,2019/07/16,29.4827805808045,29.4783406262615,29.4711011597077,-91.2752059774365,-91.2629277980856,-91.2687521429321,-91.2782421253575,29.484241731468
1683,20190716a_jpgs/jpgs/P19748950.jpg,4025186,2019/07/16,29.516623248079,29.5235882417212,29.5282000709202,-92.3163029912586,-92.3268471818197,-92.3224640030699,-92.313367110414,29.5157129062504
1684,20190716a_jpgs/jpgs/S19756921.jpg,6144680,2019/07/16,29.8081741752883,29.8062116416958,29.810537911214,-92.0830618328045,-92.0863132345856,-92.0806411457469,-92.0797147051882,29.8048230294478
1685,20190716a_jpgs/jpgs/S19757126.jpg,6702432,2019/07/16,29.8003869751605,29.7952051310081,29.7985862825934,-92.2242833754267,-92.2236819679447,-92.2180609211528,-92.2208591815362,29.7963631538999
1686,20190716a_jpgs/jpgs/P19753086.jpg,9193177,2019/07/16,29.475199452822,29.4723899226374,29.4665662668869,-91.2803091809709,-91.2708136361754,-91.2775518331208,-91.2840286553466,29.4775912568127
1687,20190716a_jpgs/jpgs/S19749044.jpg,5611852,2019/07/16,29.5875021206917,29.5812133115157,29.5749013467876,-92.2865726837442,-92.274451428059,-92.2804733692668,-92.2902994072937,29.5890833628155
1688,20190716a_jpgs/jpgs/C19755427.jpg,10664846,2019/07/16,29.6237560608392,29.6258224428166,29.6269367143203,-91.0603072797803,-91.0633572345748,-91.0611993185924,-91.0586247642134,29.6223367757752
1689,20190716a_jpgs/jpgs/S19755533.jpg,6451107,2019/07/16,29.6664031675263,29.661576723777,29.6627150546623,-91.1281770832539,-91.1254709667962,-91.1225904325245,-91.1263995099321,29.6639774239058
1690,20190716a_jpgs/jpgs/C19757710.jpg,9348261,2019/07/16,29.9277540506333,29.9312442073184,29.9321688907641,-92.6404244234526,-92.6441656935895,-92.642798134898,-92.6388891296339,29.9267906488324
1691,20190716a_jpgs/jpgs/C19755259.jpg,8906352,2019/07/16,29.5751313673651,29.5755240467566,29.5773875189485,-90.9545677318313,-90.9568775212367,-90.9533603104624,-90.9514715166766,29.5727041650216
1692,20190716a_jpgs/jpgs/C19752635.jpg,6696606,2019/07/16,29.5192028388725,29.5168242551487,29.5195381751937,-91.2682163886829,-91.268417545629,-91.2644088016625,-91.2640913467547,29.5165720123285
1693,20190716a_jpgs/jpgs/P19756478.jpg,7008236,2019/07/16,29.7720464190299,29.7761452420782,29.7736933634396,-91.7916952961772,-91.7923135615875,-91.7964531279008,-91.7942313966316,29.7751465116288
1694,20190716a_jpgs/jpgs/P19747995.jpg,5585559,2019/07/16,29.725950791595,29.7180075764107,29.7234600717467,-92.9774086717395,-92.9759547442909,-92.9666720580087,-92.9723555966647,29.7199807707534
