,file,size,date,lr_lon,ul_lon,ur_lon,ll_lat,ur_lat,ll_lon,lr_lat,ul_lat
1685,20180907a_jpgs/jpgs/S25048105.jpg,4442004,2018/09/07,-88.1482873285549,-88.1676580196402,-88.1438394934829,30.243227117827,30.2585357601412,-88.1630626411869,30.2430901012021,30.2592267326294
1686,20180907a_jpgs/jpgs/S25048114.jpg,4465961,2018/09/07,-88.1550717437882,-88.172003517437,-88.1489836450329,30.2437589475569,30.2568256553124,-88.1696570471367,30.2422728207448,30.2594796642403
1687,20180907a_jpgs/jpgs/S25048144.jpg,4520908,2018/09/07,-88.1806448033784,-88.2014730196614,-88.176320147648,30.2451300370001,30.2622055972693,-88.1956256589823,30.2454726934282,30.2620468274141
1688,20180907a_jpgs/jpgs/S25048093.jpg,4748385,2018/09/07,-88.1367887936571,-88.1545798466653,-88.1276715776638,30.2450631312916,30.2603225332879,-88.1519172723206,30.2428832927596,30.26470994665
1689,20180907a_jpgs/jpgs/S25048126.jpg,4672889,2018/09/07,-88.1647447568237,-88.181572923632,-88.1574968068328,30.2453101337374,30.2586047382752,-88.1794481320032,30.2433669130064,30.2622234068335
1690,20180907a_jpgs/jpgs/S25048096.jpg,4711759,2018/09/07,-88.1398139722322,-88.1590729706499,-88.1322312465524,30.2448580267894,30.2611928551336,-88.1550210962608,30.2435563703412,30.2640029030354
1691,20180907a_jpgs/jpgs/S25048090.jpg,4844313,2018/09/07,-88.1337665825264,-88.1497895476739,-88.1227145516173,30.245343197933,30.2593620031648,-88.1487534200951,30.2421079702895,30.2658290737134
1692,20180907a_jpgs/jpgs/S25048021.jpg,6846682,2018/09/07,-88.0822424968876,-88.1058332506064,-88.0824930739049,30.2397595612772,30.2588244666095,-88.0965964090407,30.2428936837557,30.2543000794469
1693,20180907a_jpgs/jpgs/S25047698.jpg,5930179,2018/09/07,-88.1093959271676,-88.0973225468824,-88.0917758477241,30.2590078766131,30.246886649981,-88.1129370501704,30.2467186988329,30.2660615083004
1694,20180907a_jpgs/jpgs/S25048117.jpg,4475761,2018/09/07,-88.1575397866631,-88.1740711830489,-88.1514611065179,30.2437251731594,30.2563351636726,-88.1720446091366,30.2421159524114,30.2591153684457
1695,20180907a_jpgs/jpgs/S25048063.jpg,5042914,2018/09/07,-88.1124271139072,-88.1255248508938,-88.1029632084404,30.239400623709,30.2491762547577,-88.1265358656337,30.2355212297137,30.2558287239
1696,20180907a_jpgs/jpgs/S25048045.jpg,5474869,2018/09/07,-88.099010187817,-88.1171072716693,-88.0939887003284,30.2373678085513,30.2513790787726,-88.1136790820413,30.2366241299203,30.2529594969717
1697,20180907a_jpgs/jpgs/S25048087.jpg,4858604,2018/09/07,-88.1313222888569,-88.1449864929823,-88.1200958074728,30.2444938015463,30.2557559515456,-88.1457615822445,30.2404262710529,30.2634377989134
1698,20180907a_jpgs/jpgs/S25047689.jpg,6424892,2018/09/07,-88.104721422865,-88.0965671511393,-88.0873252268083,30.2538043087092,30.2449916913954,-88.1106440227857,30.2422003737188,30.2631580115748
1699,20180907a_jpgs/jpgs/S25048006.jpg,6114177,2018/09/07,-88.0721896341568,-88.0978937715549,-88.0746846086083,30.2432295843213,30.2642825344472,-88.086095982667,30.2479063266102,30.2571492549446
1700,20180907a_jpgs/jpgs/S25048030.jpg,6632732,2018/09/07,-88.0887143769804,-88.1128062989255,-88.0872442608134,30.239262464173,30.2590851436478,-88.1036045007927,30.2415366393141,30.2558463136801
1701,20180907a_jpgs/jpgs/S25048066.jpg,5104965,2018/09/07,-88.1147516927635,-88.1280356579632,-88.1049772957971,30.240005728324,30.2501302884142,-88.1289459731373,30.2361191811371,30.256941262705
1702,20180907a_jpgs/jpgs/S25048060.jpg,4927378,2018/09/07,-88.1104164073487,-88.1240416349795,-88.1017931207513,30.2388020044453,30.2487321045131,-88.1245619339877,30.2352630560631,30.2549302859078
1703,20180907a_jpgs/jpgs/S25047692.jpg,6437022,2018/09/07,-88.1069663768762,-88.0981189463823,-88.0904295360913,30.2552515250658,30.2455103663355,-88.1120864600744,30.2435052189786,30.2633186799321
1704,20180907a_jpgs/jpgs/S25048009.jpg,6430127,2018/09/07,-88.0740201314755,-88.0983715424489,-88.0761138421922,30.2419374334727,30.2616391406984,-88.0878768005087,30.2462644164157,30.2553003969084
1705,20180907a_jpgs/jpgs/S25048069.jpg,5070664,2018/09/07,-88.1172528714501,-88.1304625578241,-88.1078258308845,30.2400994887234,30.2500135237647,-88.131385732365,30.2362857071179,30.2565322352297
1706,20180907a_jpgs/jpgs/S25048075.jpg,4975319,2018/09/07,-88.1220388794119,-88.1350638307908,-88.1125842785031,30.2409013321669,30.2506781185923,-88.1361128828383,30.237053019309,30.257096310886
1707,20180907a_jpgs/jpgs/S25048135.jpg,4679327,2018/09/07,-88.1723444004762,-88.1914668996761,-88.165622703467,30.2461278005713,30.2620152956163,-88.1874159383515,30.2450959032549,30.2641932806571
1708,20180907a_jpgs/jpgs/S25048111.jpg,4451153,2018/09/07,-88.1527876918422,-88.1702765878878,-88.1472606760518,30.2434478831994,30.2569598562426,-88.1674070024527,30.2423387732316,30.259048977359
1709,20180907a_jpgs/jpgs/S25047701.jpg,5978142,2018/09/07,-88.1103360260412,-88.0969273858587,-88.0922166150326,30.2609213729421,30.2478409186562,-88.1132731790477,30.2484459556483,30.2676102791219
1710,20180907a_jpgs/jpgs/S25048024.jpg,6720640,2018/09/07,-88.0841334170142,-88.1062830117544,-88.0837132188342,30.2389028251867,30.2564789863392,-88.098493664983,30.2414176253745,30.2530558049357
1711,20180907a_jpgs/jpgs/S25048286.jpg,4652973,2018/09/07,-88.2954774124484,-88.3194048643698,-88.2963236956328,30.2212751043601,30.2408239401498,-88.3096732591391,30.2248409441193,30.2354801151264
1712,20180907a_jpgs/jpgs/S25048295.jpg,4895155,2018/09/07,-88.3010279978184,-88.3207201505469,-88.2977650459669,30.2210348968754,30.2366035770685,-88.3156549371784,30.2215847442717,30.236012958052
1713,20180907a_jpgs/jpgs/S25048277.jpg,4404340,2018/09/07,-88.2879839687318,-88.3134539079062,-88.2879831992909,30.2243625605267,30.245826509206,-88.3026482729017,30.2276902786748,30.2404564647532
