,file,size,ll_lon,ll_lat,ul_lon,ul_lat,lr_lon,lr_lat,ur_lat,ur_lon
2355,20190905a_jpgs/jpgs/P24856045.jpg,2436343,-80.9547496580367,29.1245844987443,-80.9655006616019,29.1140235069481,-80.9617533731385,29.13373153295,29.1289331642716,-80.9767629123912
2356,20190905a_jpgs/jpgs/P24852876.jpg,3229803,-80.7074910065605,28.4011029867826,-80.6888002991781,28.4052715515932,-80.7075435874642,28.3877233487628,28.3837573237156,-80.6891818852035
2357,20190905a_jpgs/jpgs/C24862912.jpg,6481512,-81.1350668983649,31.6430096124026,-81.1329623330388,31.6518430291421,-81.1205955044345,31.6397737514906,31.6497349295359,-81.1179594354917
2358,20190905a_jpgs/jpgs/P24850360.jpg,1999000,-80.2654592728805,27.395953551216,-80.2773352357381,27.3870331034277,-80.270809506597,27.4057745450382,27.4028776575614,-80.2858958111706
2359,20190905a_jpgs/jpgs/C24851499.jpg,9331636,-80.6026266634625,28.1801347435225,-80.6043674700117,28.1927931546618,-80.5837131916693,28.1822114797872,28.1947660870337,-80.5854055963687
2360,20190905a_jpgs/jpgs/P24858919.jpg,3418434,-81.5919376152873,30.3982521682303,-81.5877569754444,30.3884638056518,-81.6037775182642,30.3964545429399,30.3862104361008,-81.603762684802
2361,20190905a_jpgs/jpgs/P24863044.jpg,2286974,-81.1297592539034,31.7153476394291,-81.1400712578895,31.7101810851108,-81.1333994455555,31.7244418108809,31.7231236609577,-81.1453656270263
2362,20190905a_jpgs/jpgs/C24857332.jpg,8267859,-81.3129665550622,29.9631996589309,-81.3162268027453,29.97306452474,-81.2976863132145,29.9668457489951,29.9769724498277,-81.3009380694739
2363,20190905a_jpgs/jpgs/C24854574.jpg,9900326,-80.7494726632608,28.4453164209097,-80.7439360068081,28.4345910851018,-80.7682241762579,28.4390054509741,28.4262046934837,-80.7612752694526
2364,20190905a_jpgs/jpgs/C24858928.jpg,6805674,-81.5967732471618,30.3957265119257,-81.605195298746,30.3892278159317,-81.6074129702216,30.4068578502092,30.398872073313,-81.6166164262009
2365,20190905a_jpgs/jpgs/C24860671.jpg,10240957,-81.4228691544105,30.8545818673142,-81.420662156751,30.8646719038561,-81.4071612943346,30.851862276814,30.8622046143725,-81.404829373578
2366,20190905a_jpgs/jpgs/C24859715.jpg,5498793,-81.4278536838038,30.4952136899743,-81.4310853123625,30.5050873296301,-81.4125650410471,30.498969275827,30.5089115805584,-81.415914338477
2367,20190905a_jpgs/jpgs/P24857863.jpg,3608126,-81.3957752869898,30.3177536659076,-81.4130048106379,30.3107545551406,-81.3978731175556,30.3289231333918,30.3304948884415,-81.4163071163205
2368,20190905a_jpgs/jpgs/C24848355.jpg,6186542,-80.1139699508782,26.0483902529844,-80.1132829531627,26.0585713676384,-80.0988030413545,26.0473528596507,26.0578203559494,-80.098011687562
2369,20190905a_jpgs/jpgs/C24857192.jpg,8220099,-81.2754225439108,29.8730759896415,-81.2786959324736,29.8826418889647,-81.2599185357175,29.8765299473611,29.8870672846145,-81.2633807624162
2370,20190905a_jpgs/jpgs/P24856003.jpg,2542971,-80.9399525749564,29.0976038274142,-80.9515877440727,29.0817357091325,-80.9486679631955,29.1064769514863,29.0986646068565,-80.9680403760231
2371,20190905a_jpgs/jpgs/C24849919.jpg,9687939,-80.1505780461036,27.1178736185498,-80.1534894289897,27.1285187069664,-80.1355863191555,27.1218833663964,27.131404881773,-80.1383649422897
2372,20190905a_jpgs/jpgs/P24853657.jpg,1685060,-80.6502525316012,28.2925550486582,-80.6674055658486,28.2807264311047,-80.6563368718549,28.305291455013,28.302660544471,-80.6780603432916
2373,20190905a_jpgs/jpgs/P24862637.jpg,3702728,-81.2106176280651,31.4707184245337,-81.2264100914504,31.4720637095593,-81.2064125673693,31.4806563617685,31.4882701479679,-81.219570196184
2374,20190905a_jpgs/jpgs/C24858521.jpg,8053264,-81.2948099307252,30.3686686991877,-81.3056118059164,30.3727710033647,-81.2886662032321,30.3815432622127,30.3851976958803,-81.2998298719009
2375,20190905a_jpgs/jpgs/C24863059.jpg,11515644,-81.1364543473656,31.7226315903175,-81.1412468676878,31.7309201331693,-81.123132309657,31.7280152461313,31.7366676574343,-81.1281439672941
2376,20190905a_jpgs/jpgs/P24857428.jpg,3180387,-81.3285010858471,30.024356633739,-81.3422981828523,30.0156202344873,-81.3331768071039,30.03473716132,30.0329498415589,-81.3501419996329
2377,20190905a_jpgs/jpgs/C24856160.jpg,9439011,-81.0039128303302,29.1930364391777,-81.0093180532898,29.2029783185619,-80.9897873340969,29.1997241865353,29.2086133734422,-80.9948030836555
2378,20190905a_jpgs/jpgs/C24848390.jpg,6784908,-80.1132580521468,26.0722637820164,-80.1127039208753,26.0824862197338,-80.0980914235898,26.0714027715598,26.0818533922662,-80.0973932714434
2379,20190905a_jpgs/jpgs/C24853583.jpg,10242712,-80.6360613372606,28.2448794944878,-80.6403695126687,28.2568939833988,-80.6178646486536,28.2497390693816,28.2620330256633,-80.6220270776872
2380,20190905a_jpgs/jpgs/P24857273.jpg,2266106,-81.2984022718792,29.9219158628245,-81.3117442692369,29.9120763783092,-81.303900678878,29.9320382806227,29.9292163973612,-81.3209510865193
2381,20190905a_jpgs/jpgs/P24852724.jpg,3227270,-80.6996914049335,28.5113568558041,-80.6806760742428,28.5102732672184,-80.7043462318004,28.498642735384,28.4901136312825,-80.688434079339
2382,20190905a_jpgs/jpgs/C24851475.jpg,11077796,-80.5974858136562,28.1602387818622,-80.6023438292018,28.1726335857275,-80.5795278232063,28.166225998434,28.1778656144583,-80.5841548397877
2383,20190905a_jpgs/jpgs/P24850493.jpg,2963865,-80.3032032543807,27.491617352082,-80.3163939134731,27.4840480799063,-80.3070907197298,27.5019854432731,27.500863692709,-80.3226076861732
2384,20190905a_jpgs/jpgs/C24860355.jpg,9112521,-81.479498276559,30.7471674722575,-81.4809238927475,30.7374487218096,-81.4961898010361,30.7496555091214,30.7381773089551,-81.4971898272431
