,time,name,not_done,done,tagged_ratio
77,1573784324,2019-11-14T21:18:44.962922,81,248,0.24620060790273557
78,1573784280,2019-11-14T21:18:00.310143,80,248,0.24390243902439024
79,1573784273,2019-11-14T21:17:53.906941,80,248,0.24390243902439024
80,1573784260,2019-11-14T21:17:40.618515,79,248,0.2415902140672783
81,1573784256,2019-11-14T21:17:36.312516,79,248,0.2415902140672783
82,1573784237,2019-11-14T21:17:17.107137,78,248,0.2392638036809816
83,1573784233,2019-11-14T21:17:13.904244,78,248,0.2392638036809816
84,1573784200,2019-11-14T21:16:40.721849,77,248,0.23692307692307693
85,1573784197,2019-11-14T21:16:37.826097,77,248,0.23692307692307693
86,1573784181,2019-11-14T21:16:21.252177,76,248,0.2345679012345679
87,1573784175,2019-11-14T21:16:15.675683,76,248,0.2345679012345679
88,1573784153,2019-11-14T21:15:53.792668,75,248,0.23219814241486067
89,1573784149,2019-11-14T21:15:49.347932,75,248,0.23219814241486067
90,1573784132,2019-11-14T21:15:32.571385,74,248,0.22981366459627328
91,1573784127,2019-11-14T21:15:27.879088,74,248,0.22981366459627328
92,1573784087,2019-11-14T21:14:47.804131,73,248,0.22741433021806853
93,1573784084,2019-11-14T21:14:44.457191,73,248,0.22741433021806853
94,1573784047,2019-11-14T21:14:07.866516,72,248,0.225
95,1573784044,2019-11-14T21:14:04.861812,72,248,0.225
96,1573784029,2019-11-14T21:13:49.281059,71,248,0.2225705329153605
97,1573784026,2019-11-14T21:13:46.267309,71,248,0.2225705329153605
98,1573784004,2019-11-14T21:13:24.223916,70,248,0.22012578616352202
99,1573784000,2019-11-14T21:13:20.013043,70,248,0.22012578616352202
100,1573783982,2019-11-14T21:13:02.130277,69,248,0.21766561514195584
101,1573783978,2019-11-14T21:12:58.969666,69,248,0.21766561514195584
102,1573783941,2019-11-14T21:12:21.391588,68,248,0.21518987341772153
103,1573783933,2019-11-14T21:12:13.813970,68,248,0.21518987341772153
104,1573783905,2019-11-14T21:11:45.800489,67,248,0.2126984126984127
105,1573783901,2019-11-14T21:11:41.562804,67,248,0.2126984126984127
106,1573783834,2019-11-14T21:10:34.979728,66,248,0.21019108280254778
107,1573783832,2019-11-14T21:10:32.094691,66,248,0.21019108280254778
108,1573783731,2019-11-14T21:08:51.914546,65,248,0.20766773162939298
109,1573783715,2019-11-14T21:08:35.731047,65,248,0.20766773162939298
110,1573783694,2019-11-14T21:08:14.433423,64,248,0.20512820512820512
111,1573783691,2019-11-14T21:08:11.404681,64,248,0.20512820512820512
112,1573783667,2019-11-14T21:07:47.558529,63,248,0.20257234726688103
113,1573783662,2019-11-14T21:07:42.518305,63,248,0.20257234726688103
114,1573783639,2019-11-14T21:07:19.693720,62,248,0.2
115,1573783636,2019-11-14T21:07:16.416838,62,248,0.2
116,1573783468,2019-11-14T21:04:28.518832,61,248,0.19741100323624594
117,1573699182,2019-11-13T21:39:42.331225,61,248,0.19741100323624594
118,1573699179,2019-11-13T21:39:39.492128,61,248,0.19741100323624594
119,1573699155,2019-11-13T21:39:15.669156,60,248,0.19480519480519481
120,1573699152,2019-11-13T21:39:12.641901,60,248,0.19480519480519481
121,1573699121,2019-11-13T21:38:41.233975,59,248,0.19218241042345277
122,1573699116,2019-11-13T21:38:36.437176,59,248,0.19218241042345277
123,1573699074,2019-11-13T21:37:54.818208,58,248,0.1895424836601307
