green,blue,type,name
89.20000629,75.25047893,0,inland
97.32601583,84.65533882,0,inland
94.98820331,86.59989399,0,inland
95.70528553,89.03322641,0,inland
90.35929316,83.19146108,0,inland
90.38167228,84.10996472,0,inland
88.52562907,79.37860678,0,inland
85.85394739,72.49361517,0,inland
93.72780975,79.90007393,0,inland
94.40676185,82.83404013,0,inland
94.39818317,84.65412787,0,inland
94.85463254,83.51517597,0,inland
94.87023319,82.80185326,0,inland
93.73696448,82.85482159,0,inland
95.2221365,83.50342799,0,inland
94.4089768,83.42336357,0,inland
94.5364758,84.61947223,0,inland
91.38227692,83.22858595,0,inland
91.30397081,82.98457564,0,inland
90.81336982,80.44086343,0,inland
89.26954753,77.90485939,0,inland
89.30681139,76.85334594,0,inland
90.5571125,78.77483655,0,inland
90.26305913,79.85140023,0,inland
89.36504594,78.65938226,0,inland
90.99754266,81.47807807,0,inland
91.32713041,83.18709905,0,inland
91.40860591,84.51973742,0,inland
94.08919466,89.91076075,0,inland
94.42693303,91.75803286,0,inland
92.75242813,84.84085587,0,inland
90.14526177,78.90118501,0,inland
89.85843272,77.53050399,0,inland
90.73561439,82.38625511,0,inland
93.13622241,87.09206314,0,inland
93.8122448,90.59375096,0,inland
93.83950215,89.79598198,0,inland
91.48995444,82.28178198,0,inland
92.58180054,84.45184802,0,inland
93.77274501,88.23421981,0,inland
90.28422946,83.98303911,0,inland
90.10911674,82.68023034,0,inland
89.28671239,82.17551313,0,inland
90.45717662,84.22534011,0,inland
89.33950643,83.11772661,0,inland
89.4078199,86.46730978,0,inland
88.17399772,82.00314108,0,inland
92.65342388,88.22355197,0,inland
95.24285935,93.04037764,0,inland
93.70256965,88.95174645,0,inland
91.33905151,80.32015069,0,inland
90.98500023,80.97584675,0,inland
90.96873264,81.8046584,0,inland
92.99956418,84.98982519,0,inland
97.14109063,93.80003284,0,inland
91.50488502,89.79284443,0,inland
90.42637087,84.81325196,0,inland
88.20454631,80.30882623,0,inland
87.96711037,80.10565673,0,inland
92.24163614,86.22321102,0,inland
92.39689048,87.60795276,0,inland
92.07671348,87.07870787,0,inland
92.91878025,87.89738586,0,inland
94.16895866,89.3084537,0,inland
91.75541528,82.65368783,0,inland
90.18039679,78.53091732,0,inland
92.06114833,85.17437405,0,inland
90.74489401,83.44425576,0,inland
91.76609634,81.0325716,0,inland
90.36859594,79.95239087,0,inland
91.63620415,82.1512312,0,inland
90.96943716,82.79882336,0,inland
90.93035053,80.01228938,0,inland
85.21822575,71.27820433,0,inland
87.61731353,72.39127889,0,inland
90.08786512,77.28142899,0,inland
94.17852205,82.64132732,0,inland
94.25841434,82.56711687,0,inland
95.02332781,83.76400897,0,inland
93.83503288,82.24954765,0,inland
93.53416012,81.30260588,0,inland
94.03008383,81.84523851,0,inland
96.05091147,86.45963704,0,inland
95.24747384,86.03058334,0,inland
91.11145021,81.80544062,0,inland
94.23618511,88.73077066,0,inland
95.00592294,90.95749728,0,inland
91.67010899,88.98419398,0,inland
86.01203977,81.37736335,0,inland
89.60926166,84.52510236,0,inland
88.85483806,83.20155374,0,inland
88.40519503,80.98570269,0,inland
88.56667952,82.65135676,0,inland
89.52291696,86.41448405,0,inland
87.5230591,81.35182746,0,inland
90.04164873,83.08091241,0,inland
91.2449933,85.51753242,0,inland
89.49371849,83.1495606,0,inland
89.00012949,80.86871861,0,inland
90.77826346,81.91633887,0,inland
90.6245262,82.10849538,0,inland
89.18202441,81.02096061,0,inland
92.16022376,85.98624265,0,inland
93.25784468,88.90453645,0,inland
95.1438795,93.80797441,0,inland
92.61065038,90.90091538,0,inland
94.57967135,93.98215128,0,inland
