,file,storm_id,archive,image,size,date,ll_lat,ul_lon,geom_checksum,lr_lon,ur_lon,ul_lat,lr_lat,ll_lon,ur_lat
0,20181011a_jpgs/jpgs/P28470864.jpg,michael,20181011a_jpgs,P28470864.jpg,7881609,2018/10/11,30.3207343996199,-85.6598062405462,b22d562fac074f376b250b6b3745edb5,-85.6491467134009,-85.6427217946249,30.3338760315644,30.3193111349929,-85.6579716144198,30.3306407006711
1,20181011a_jpgs/jpgs/P28470889.jpg,michael,20181011a_jpgs,P28470889.jpg,6583052,2018/10/11,30.3110601093855,-85.636914133393,c9314c9a6360954855a57d60a5e3fdf1,-85.6307470538369,-85.626185531031,30.3184559674276,30.3085667403852,-85.6382919551937,30.3148650559777
2,20181011a_jpgs/jpgs/P28471039.jpg,michael,20181011a_jpgs,P28471039.jpg,7264591,2018/10/11,30.2661924697218,-85.5180188520461,25e5a71e8ce7486e1195bccc20bd1027,-85.5165282848131,-85.5074836143194,30.2747925388274,30.2614373538697,-85.522898244348,30.2669243571566
3,20181011a_jpgs/jpgs/P28470925.jpg,michael,20181011a_jpgs,P28470925.jpg,8451613,2018/10/11,30.3043871779315,-85.6100869443682,341080a4781b7a4c3124cd604e46af0c,-85.6009837057001,-85.5964468049424,30.3139500692441,30.3030529647352,-85.6092997792628,30.3116883973401
4,20181011a_jpgs/jpgs/P28471075.jpg,michael,20181011a_jpgs,P28471075.jpg,7962848,2018/10/11,30.2493282246254,-85.4966436939683,0c5d3bace2c36ad42ad2083e3e4ea399,-85.4927717467725,-85.4849087262772,30.2585004922289,30.2454674153339,-85.4999398787793,30.2520622125083
5,20181011a_jpgs/jpgs/P28470852.jpg,michael,20181011a_jpgs,P28470852.jpg,8950445,2018/10/11,30.319845236321,-85.6714152788086,54906551237d059438682c9bb7daa428,-85.6604449493195,-85.657522455871,30.3293125924996,30.3196081402642,-85.6688637878179,30.3286809092359
6,20181011a_jpgs/jpgs/P28471009.jpg,michael,20181011a_jpgs,P28471009.jpg,7839126,2018/10/11,30.2820831855336,-85.53773258147,1d8c9167f3e265b5f95bbc8b60441550,-85.535717665132,-85.5260274164333,30.2925021045758,30.2774017824719,-85.5425407301088,30.2838265729229
7,20181011a_jpgs/jpgs/P28471057.jpg,michael,20181011a_jpgs,P28471057.jpg,7762400,2018/10/11,30.2567219462932,-85.5083332345116,edfa12c8822807b49f225981e84fb242,-85.5057782271998,-85.4984327115302,30.2643908229862,30.2523723629167,-85.512295254222,30.2577056710261
8,20181011a_jpgs/jpgs/P28470943.jpg,michael,20181011a_jpgs,P28470943.jpg,4897721,2018/10/11,30.3011017376088,-85.5954875847073,7182fb2cfa6398a89f425cfe1f83c62e,-85.5863777851602,-85.5822602132001,30.3103531817894,30.2998051991949,-85.5947055978447,30.3080716341582
9,20181011a_jpgs/jpgs/P28470997.jpg,michael,20181011a_jpgs,P28470997.jpg,8339132,2018/10/11,30.286937027788,-85.5469383500579,4f528c511631bc5e38aa38dd43476cbf,-85.5443938795073,-85.5361945625657,30.2957730726359,30.282491243708,-85.5511281682977,30.2883422140345
10,20181011a_jpgs/jpgs/P28470991.jpg,michael,20181011a_jpgs,P28470991.jpg,8266941,2018/10/11,30.2898634191755,-85.5511386886409,e4701a6749cf37765694aeb6771943f6,-85.5481119356066,-85.5395542853149,30.2992766500866,30.2855871986052,-85.5551066492471,30.2919799110145
11,20181011a_jpgs/jpgs/P28470858.jpg,michael,20181011a_jpgs,P28470858.jpg,8357179,2018/10/11,30.319754718982,-85.6659386694461,c3df27bb60dbc94bad3a938cf2d36aee,-85.6549808714976,-85.6515083241971,30.3296467120134,30.3193798797085,-85.663469711919,30.328952585124
12,20181011a_jpgs/jpgs/P28470828.jpg,michael,20181011a_jpgs,P28470828.jpg,8841689,2018/10/11,30.3214377365894,-85.6914319087642,3fe36a58b22680e1f0e7d403f5e0496b,-85.6806734115568,-85.6776847353578,30.3306890935391,30.3211938384238,-85.6890531309783,30.3302407699695
13,20181011a_jpgs/jpgs/P28471003.jpg,michael,20181011a_jpgs,P28471003.jpg,8086016,2018/10/11,30.2841382225236,-85.5434950693746,9e1e5d8f797e3f5aa31365074fd7621e,-85.5403493427002,-85.5323904407374,30.2931810544388,30.2799374011662,-85.5472757065529,30.28609015313
14,20181011a_jpgs/jpgs/P28471021.jpg,michael,20181011a_jpgs,P28471021.jpg,8267696,2018/10/11,30.2752837263113,-85.5300172196235,b1da3617572a391e5c2725b98506352d,-85.5281454022917,-85.5194331548046,30.283974117024,30.2706581183472,-85.5346358493822,30.2762740366915
15,20181011a_jpgs/jpgs/P28470979.jpg,michael,20181011a_jpgs,P28470979.jpg,8225419,2018/10/11,30.2956926480156,-85.5594370601957,f10682ab8cbdabbe334af07c3d64910f,-85.5560490419649,-85.5467517142433,30.3063359840677,30.2914777398151,-85.5633156828598,30.2986480985021
16,20181011a_jpgs/jpgs/P28470961.jpg,michael,20181011a_jpgs,P28470961.jpg,7357740,2018/10/11,30.3026472117943,-85.5831168017191,681f79aa423f004f9fdeb70c3fb0c72a,-85.5698591024525,-85.5601443641334,30.3212838533646,30.3013246440848,-85.5795270146341,30.3179267231884
17,20181011a_jpgs/jpgs/P28471051.jpg,michael,20181011a_jpgs,P28471051.jpg,7480007,2018/10/11,30.2601225600139,-85.5108464846395,67ad273b9c263c2599f40afaa08242ad,-85.5092454795499,-85.5007249955503,30.2684151490425,30.2553887731689,-85.5155688872351,30.2607068873558
