,file,storm_id,archive,image,size,date,lr_lon,ul_lon,ur_lat,ur_lon,ll_lon,ll_lat,lr_lat,geom_checksum,ul_lat
1716,20180906a_jpgs/jpgs/P24952780.jpg,gordon,20180906a_jpgs,P24952780.jpg,5057318,2018/09/06,-86.9088850714208,-86.9319387787645,30.3861495468282,-86.9072995611537,-86.9240965662478,30.3666433714443,30.3689149630724,1c1a6ee728afcf01ec09311e2166a40e,30.3821662984135
1717,20180906a_jpgs/jpgs/P24953560.jpg,gordon,20180906a_jpgs,P24953560.jpg,5699839,2018/09/06,-86.2596108797648,-86.2736121944148,30.3640932680353,-86.2498063542683,-86.2744073306555,30.353182159232,30.3494728264954,623b4f3c7c55fb2e2c4bf3bcafcbb1d5,30.3698566793656
1718,20180906a_jpgs/jpgs/P24953742.jpg,gordon,20180906a_jpgs,P24953742.jpg,5932160,2018/09/06,-86.1152773275743,-86.1268791983781,30.3207447250302,-86.1039204059415,-86.1295637990956,30.3120300190041,30.3070743898056,91040156028e8f9d9303edfc20332f12,30.3284661253834
1719,20180906a_jpgs/jpgs/P24951591.jpg,gordon,20180906a_jpgs,P24951591.jpg,6844889,2018/09/06,-87.9362791908666,-87.9492473773913,30.2400029657619,-87.9328178666215,-87.9461462264862,30.2292122830519,30.2290641256998,c23fba0c2e77c7fed3adcff512907691,30.2402768838986
1720,20180906a_jpgs/jpgs/P24951627.jpg,gordon,20180906a_jpgs,P24951627.jpg,7279250,2018/09/06,-87.9037393215956,-87.9154275860693,30.2390963568233,-87.8994662428799,-87.913484508771,30.2294975532326,30.2287021962191,32b8072c29abab95469693c14184ddd1,30.2403362001992
1721,20180906a_jpgs/jpgs/P24952328.jpg,gordon,20180906a_jpgs,P24952328.jpg,5072500,2018/09/06,-87.2834763056461,-87.3001055895766,30.3279738396788,-87.2765738296156,-87.298531556351,30.3149812852897,30.3130605741372,bf63e71b4b7599a897826bd0a5460feb,30.3307865346457
1722,20180906a_jpgs/jpgs/P24953283.jpg,gordon,20180906a_jpgs,P24953283.jpg,6259391,2018/09/06,-86.4882184943611,-86.5065929583929,30.3958960202711,-86.4824215079337,-86.5034873995488,30.38112816113,30.3802049487986,0400a4c405fd7e7e4bc6b24bb589e604,30.3971375650726
1723,20180906a_jpgs/jpgs/P24953057.jpg,gordon,20180906a_jpgs,P24953057.jpg,5182380,2018/09/06,-86.6749900625273,-86.6942023811206,30.4110069757666,-86.6679468150952,-86.6906065561291,30.3947307030448,30.3936561925255,c78df2aed4f75ad05f3b60f0239222d3,30.412536691368
1724,20180906a_jpgs/jpgs/P24951869.jpg,gordon,20180906a_jpgs,P24951869.jpg,5874527,2018/09/06,-87.6984141325408,-87.7135530939273,30.2559523767352,-87.6962522332399,-87.708983858448,30.2423156273791,30.2434752954419,8b5bf2ffb27ab4b4974222dc156fe2b6,30.2531194252078
1725,20180906a_jpgs/jpgs/P24953425.jpg,gordon,20180906a_jpgs,P24953425.jpg,5851751,2018/09/06,-86.3698854426235,-86.3865265628794,30.3886538067069,-86.3612792887301,-86.3851467470301,30.3748921531048,30.372522754173,bb7239b3f4eaab7092b637bd6fc75e9b,30.3922811376649
