,file,storm_id,archive,image,size,date,ll_lat,ll_lon,lr_lat,ur_lon,ul_lat,ur_lat,lr_lon,ul_lon,geom_checksum
0,20190904a_jpgs/jpgs/P24771299.jpg,dorian,20190904a_jpgs,P24771299.jpg,7986138,2019/09/04,25.8871146774433,-80.1183603839952,25.8902323469617,-80.1230117832044,25.8855245460421,25.8905753449309,-80.118813667388,-80.122554110725,9228e3b335819d9a321763f076904524
1,20190904a_jpgs/jpgs/P24771115.jpg,dorian,20190904a_jpgs,P24771115.jpg,10461749,2019/09/04,25.7550852511972,-80.1315495088311,25.7581566230526,-80.1350040799758,25.7545407847436,25.7593040696427,-80.1312014415919,-80.1356978285546,df8d6ebda2dd3b66a7a82d37ba0d2bbe
2,20190904a_jpgs/jpgs/P24770544.jpg,dorian,20190904a_jpgs,P24770544.jpg,9231193,2019/09/04,25.3427444353151,-80.2435040471784,25.3495551589294,-80.2486689597601,25.3438947726533,25.3547190995616,-80.2405151198852,-80.2538452886822,82343a8071b8d554516c2b353d0dda72
3,20190904a_jpgs/jpgs/P24771277.jpg,dorian,20190904a_jpgs,P24771277.jpg,9272588,2019/09/04,25.8714624443704,-80.1173983875517,25.8746020920977,-80.1219916438812,25.8699473500243,25.8749861112815,-80.1178131918694,-80.121583435642,997dae979bb72d315fdb07a8841bd348
4,20190904a_jpgs/jpgs/P24771142.jpg,dorian,20190904a_jpgs,P24771142.jpg,7510876,2019/09/04,25.7746183701948,-80.1279657660331,25.7777980708486,-80.1320078769788,25.7739201702175,25.7793647504594,-80.1275348660692,-80.1329234208914,6b9cfee9c84b747ad50709ea6ae28f5e
5,20190904a_jpgs/jpgs/P24770996.jpg,dorian,20190904a_jpgs,P24770996.jpg,8726872,2019/09/04,25.6720934091706,-80.1527945651906,25.6752497788782,-80.1582984360824,25.6699725010825,25.6754799502237,-80.1534754343587,-80.1573487842142,bfcdfb6f3f6c205702502476cdf35b30
6,20190904a_jpgs/jpgs/P24770569.jpg,dorian,20190904a_jpgs,P24770569.jpg,9931402,2019/09/04,25.3593980341534,-80.2344172409057,25.3660138603094,-80.23965911579,25.3605445861314,25.3713812099863,-80.23145134462,-80.2449554490115,9dad325f28dd7d236885bb75c001b17a
7,20190904a_jpgs/jpgs/P24770758.jpg,dorian,20190904a_jpgs,P24770758.jpg,11187237,2019/09/04,25.4923155392161,-80.1699173698518,25.4967383468101,-80.1736754511931,25.4919608184901,25.4982029007211,-80.169079821018,-80.1755720438017,847524262c4c36c2a6fc1c80fecd7d01
8,20190904a_jpgs/jpgs/P24771121.jpg,dorian,20190904a_jpgs,P24771121.jpg,11326917,2019/09/04,25.7594149901793,-80.130647695007,25.7625161650975,-80.1343681024481,25.7587097084637,25.7636111266961,-80.1304047856578,-80.1349035610207,cbfe1f832b3938d543e3e4c456c15ff8
9,20190904a_jpgs/jpgs/P24771178.jpg,dorian,20190904a_jpgs,P24771178.jpg,9256113,2019/09/04,25.8001443159615,-80.121726913256,25.8033021401171,-80.1254885540734,25.7995560154208,25.8047429626863,-80.1212871966934,-80.1263744563807,1908201821e68c05ab3119be26c99f59
10,20190904a_jpgs/jpgs/P24770764.jpg,dorian,20190904a_jpgs,P24770764.jpg,10604567,2019/09/04,25.4973987577794,-80.1688516608375,25.5016598837954,-80.1731342213934,25.4965219081476,25.5029061680168,-80.1683736017477,-80.1746254677112,1447bf48c2246f51a5fa210f4ff94e3d
11,20190904a_jpgs/jpgs/P24770749.jpg,dorian,20190904a_jpgs,P24770749.jpg,11684880,2019/09/04,25.4847874464138,-80.1733181608105,25.4897148537884,-80.1778871832088,25.4842649045583,25.4919944090525,-80.1721113441655,-80.1808625025895,e6acd813fdbd8286241cfaeedd04813d
12,20190904a_jpgs/jpgs/P24771068.jpg,dorian,20190904a_jpgs,P24771068.jpg,10766985,2019/09/04,25.7228701690666,-80.1441564953817,25.7258842631745,-80.1469715698449,25.7230300851908,25.72790332898,-80.1431691904143,-80.1485823768237,4bc337f41822c3a458d1268266e00954
13,20190904a_jpgs/jpgs/P24770746.jpg,dorian,20190904a_jpgs,P24770746.jpg,11166136,2019/09/04,25.4822885284343,-80.174097110358,25.4873311843818,-80.1787371148212,25.4817937190168,25.4896486943991,-80.1728620701889,-80.1817109066051,08df682212f2f067da26acf02ac2d5cc
14,20190904a_jpgs/jpgs/P24771175.jpg,dorian,20190904a_jpgs,P24771175.jpg,9433907,2019/09/04,25.7980322149973,-80.1219333574955,25.8011607761101,-80.1260058644082,25.7972386894373,25.8023809051321,-80.1217271987521,-80.1263819055372,4882ca043a23bf2fa67c5302d1583c19
15,20190904a_jpgs/jpgs/P24771154.jpg,dorian,20190904a_jpgs,P24771154.jpg,9002589,2019/09/04,25.7832315560978,-80.1249840268406,25.7862809058769,-80.1282797965224,25.7828556750146,25.7875258680691,-80.1245450762629,-80.1289942167255,be67e74358a9304ae380d1cb79eeefcb
16,20190904a_jpgs/jpgs/P24771172.jpg,dorian,20190904a_jpgs,P24771172.jpg,10094580,2019/09/04,25.795777707273,-80.1221951498271,25.798914890023,-80.1262484679717,25.7948862995338,25.7999535135181,-80.1220758215988,-80.1265697002638,3aa658be415ba835f2cbf66bcf582322
17,20190904a_jpgs/jpgs/P24771205.jpg,dorian,20190904a_jpgs,P24771205.jpg,8929265,2019/09/04,25.8193554604076,-80.1183866727549,25.8225425206051,-80.1226760362202,25.818346339457,25.8236009311299,-80.1183056388751,-80.1229417042394,6f982378c55d52867abfca8aa6d7cc4c
