file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180916a_jpgs/jpgs/P25970390.jpg,8030701,7842.481445,7.658673286,300
Florence/20180916a_jpgs/jpgs/P25970441.jpg,6764067,6605.53418,6.450716972,96
Florence/20180916a_jpgs/jpgs/P25970837.jpg,6737685,6579.770508,6.425557137,96
Florence/20180916a_jpgs/jpgs/P25971000.jpg,5642289,5510.047852,5.380906105,300
Florence/20180916a_jpgs/jpgs/P25971054.jpg,17234108,16830.18359,16.43572617,300
Florence/20180916a_jpgs/jpgs/P25971359.jpg,7972655,7785.795898,7.603316307,96
Florence/20180916a_jpgs/jpgs/P25971633.jpg,6025193,5883.977539,5.746071815,96
Florence/20180916a_jpgs/jpgs/P25971775.jpg,8458488,8260.242188,8.066642761,96
Florence/20180916a_jpgs/jpgs/P25971860.jpg,6908437,6746.520508,6.588398933,96
Florence/20180916a_jpgs/jpgs/P25972153.jpg,6034685,5893.24707,5.755124092,96
Florence/20180916a_jpgs/jpgs/P25972258.jpg,8290839,8096.522461,7.906760216,96
Florence/20180916a_jpgs/jpgs/S25959237.jpg,9343859,9124.862305,8.910998344,96
Florence/20180916a_jpgs/jpgs/S25959760.jpg,12678260,12381.11328,12.09093094,300
Florence/20180916a_jpgs/jpgs/S25959820.jpg,6884438,6723.083984,6.565511703,96
Florence/20180916a_jpgs/jpgs/S25959889.jpg,7832501,7648.926758,7.469655037,96
Florence/20180916a_jpgs/jpgs/S25959934.jpg,8249557,8056.208008,7.867390633,96
Florence/20180916a_jpgs/jpgs/S25960140.jpg,6066634,5924.447266,5.785593033,96
Florence/20180916a_jpgs/jpgs/S25971463.jpg,8640936,8438.414063,8.240638733,96
Florence/20180916a_jpgs/jpgs/S25971502.jpg,6988748,6824.949219,6.664989471,96
Florence/20180916a_jpgs/jpgs/S25971517.jpg,6964269,6801.043945,6.641644478,96
Florence/20180916a_jpgs/jpgs/S25971807.jpg,6921041,6758.829102,6.600419044,96
Florence/20180916b_jpgs/jpgs/P25959830.jpg,5378952,5252.882813,5.129768372,96
Florence/20180916b_jpgs/jpgs/P25959942.jpg,7198566,7029.849609,6.865087509,96
Florence/20180917a_jpgs/jpgs/C26047229.jpg,6308874,6161.009766,6.016611099,300
Florence/20180917a_jpgs/jpgs/C26047250.jpg,7370972,7198.214844,7.029506683,300
Florence/20180917a_jpgs/jpgs/C26047268.jpg,7126060,6959.042969,6.795940399,300
Florence/20180917a_jpgs/jpgs/C26047374.jpg,5933223,5794.163086,5.658362389,300
Florence/20180917a_jpgs/jpgs/C26047488.jpg,6079077,5936.598633,5.797459602,300
